Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.7154088050314465,0.7143655305246934,0.7154088050314465,0.7135765025458196,0.7681881066545173
Decision Tree,0.810796645702306,0.8109619614833374,0.810796645702306,0.8108683367368014,0.8090447431146275
Random Forest,0.8852201257861635,0.9041206704828189,0.8852201257861635,0.8822516079774787,0.8777779012462289
SVM,0.5555555555555556,0.5665431186423848,0.5555555555555556,0.41122010073137594,0.5128828833834307
Naive Bayes,0.8113207547169812,0.8158594630972016,0.8113207547169812,0.8085968460817918,0.8435452237155731
XGBoost,0.8805031446540881,0.8947092027707668,0.8805031446540881,0.8779094267931022,0.8737903024174505
